locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
Leer_Comprobantes_Dos	dbo	user table
Listado	dbo	user table
Log_ColillasSinPago	dbo	user table
Log_Guia	dbo	user table
Log_RegistroSobres	dbo	user table
Log_Remesa	dbo	user table
Log_SobresGuiaEliminados	dbo	user table
LOG_TRAMOS	dbo	user table
LogT_AuditoriaPrestadores	dbo	user table
LogT_BeneficiariosHabitat	dbo	user table
LogT_CertificacionAutomatica	dbo	user table
LogT_IndDiarioBonif	dbo	user table
LogT_InformeDespacho	dbo	user table
LogT_InformeDespachoExcel	dbo	user table
LogT_SbeT_ColillaCar	dbo	user table
LogT_SreT_guiaDeDespacho	dbo	user table
LogT_Tbl_Guia	dbo	user table
LogT_Tbl_RegistroGuia	dbo	user table
LogT_Tbl_RegistroSobres	dbo	user table
LogT_VentasOffLine	dbo	user table
maeadh	dbo	user table
maecar	dbo	user table
maecta	dbo	user table
maectaemp	dbo	user table
maepla	dbo	user table
Maesem	dbo	user table
MAESEMCOM	dbo	user table
mail_invitacion	dbo	user table
mailejecutivo	dbo	user table
mailnavidad2011	dbo	user table
Marcar	dbo	user table
megfac	dbo	user table
Migracion$	dbo	user table
Mod_Detbon	dbo	user table
Mod_Prestaciones	dbo	user table
Mod_ReglasPrestacion	dbo	user table
Mod_ReglasRubros	dbo	user table
ModCap	dbo	user table
MontoSociosCamara	dbo	user table
MontoSociosCamara2	dbo	user table
MovPoblacion	dbo	user table
MsgInput	dbo	user table
NOPHB	dbo	user table
Nueva tabla	dbo	user table
OrdenadaV2	dbo	user table
Out_BonificacionCar	dbo	user table
Out_BonificacionDet	dbo	user table
Out_BonificacionPre	dbo	user table
OuT_Xml_Auditoria	dbo	user table
PacT_AntiguedadConsulta	dbo	user table
PacT_AreaOrientacion	dbo	user table
PacT_Asistencia	dbo	user table
PacT_Cargo	dbo	user table
PacT_Ciudad	dbo	user table
PacT_Comunas	dbo	user table
PacT_Derivacion	dbo	user table
PacT_EstadosCiviles	dbo	user table
PacT_EstadoTratamiento	dbo	user table
PacT_Ficha	dbo	user table
PacT_FichaDet	dbo	user table
PacT_GradoAfectaDesempeno	dbo	user table
PacT_MotivoConsultaEspecifico	dbo	user table
PacT_MotivoConsultaGeneral	dbo	user table
PacT_Paciente	dbo	user table
PacT_Regiones	dbo	user table
PacT_RelacionEmpresa	dbo	user table
PacT_Rubros	dbo	user table
PacT_TipoConsulta	dbo	user table
PacT_TipoOrientacion	dbo	user table
PAR_ADMINISTRADORAS	dbo	user table
PAR_AGENCIAS	dbo	user table
Par_Agencias_20070723	dbo	user table
PAR_AREAS	dbo	user table
PAR_CIUDADES	dbo	user table
PAR_COMUNAS	dbo	user table
PAR_DATOS_CLAVE	dbo	user table
PAR_GENERAL	dbo	user table
PAR_TIPOS_CARGOS	dbo	user table
paso_Aportes	dbo	user table
paso_Aportes_log	dbo	user table
Paso_ExcedentesDistribuir	dbo	user table
paso00141803832	dbo	user table
PasoAcumulado	dbo	user table
PasoDebe	dbo	user table
PasoDias	dbo	user table
PasoDiasEst	dbo	user table
PasoFinal	dbo	user table
PasoHoraDiaActual	dbo	user table
PasoHoraDiaMenos	dbo	user table
PasoInform1	dbo	user table
PasoPagado	dbo	user table
PasoPrestamos	dbo	user table
pasorba	dbo	user table
PDF_estado_log	dbo	user table
Pharma_ArchivoASCII	dbo	user table
Pharma_ArchivoAsciiGen	dbo	user table
Pharma_ASCII	dbo	user table
Pharma_AuditoriaAcumulado	dbo	user table
Pharma_VentaTotal	dbo	user table
PHGENER	dbo	user table
PresT_Convenio	dbo	user table
PresT_TipoPrestador	dbo	user table
Prestacion	dbo	user table
PreT_ConveniosDentales	dbo	user table
PreT_Imed	dbo	user table
RbaEmpresa	dbo	user table
Rec_TablaSubeRenta	dbo	user table
Rec100_ValorUfSeleccion	dbo	user table
Recaudacion146	dbo	user table
Recaudacion150	dbo	user table
Recaudacion151	dbo	user table
Recaudacion152	dbo	user table
RechazosTotales	dbo	user table
ReclamosComisiones	dbo	user table
regin4	dbo	user table
regin5	dbo	user table
regin6	dbo	user table
Remesas	dbo	user table
Renova	dbo	user table
RentasAFP	dbo	user table
Reprocesos	dbo	user table
Rest_Resumen	dbo	user table
Resultados	dbo	user table
resumen	dbo	user table
RetT_AcumulaTopes	dbo	user table
RetT_BonificacionCar	dbo	user table
RetT_BonificacionDet	dbo	user table
RetT_BonificacionPre	dbo	user table
RetT_BonificacionSaldos	dbo	user table
RetT_ColillaCar	dbo	user table
RPD_ParametrosReversa	dbo	user table
Saldos	dbo	user table
Saui_NumeroCorreo	dbo	user table
Sbet_AcumulaDeducibleFamiliar	dbo	user table
Sbet_AcumulaDeducibleFamiliarOld	dbo	user table
Sbet_AcumulaDeduciblePorSistema	dbo	user table
Sbet_AcumulaDeduciblePorSistemaAcum	dbo	user table
Sbet_AcumulaDeduciblePorSistemaOld	dbo	user table
SbeT_AcumulaTopes	dbo	user table
SbeT_AcumulaTopes2009	dbo	user table
Sbet_AcumulaTopesAcum	dbo	user table
SbeT_AcumulaTopesAUD	dbo	user table
SbeT_AcumulaTopesAux	dbo	user table
Sbet_AcumulaTopesVirtual	dbo	user table
Sbet_Ahumada	dbo	user table
